mira,mira-fs1,HACC-IO,GLEAN,write,232.252981,10722.602691,2611327991808,1487192673,1487192908,1025514
mira,mira-fs1,IOR,MPIIO,read,88.645054,11828.928442,1099511627776,1487192980,1487193088,1025514
mira,mira-fs1,IOR,POSIX,read,57.135247,18352.524184,1099511627776,1487193095,1487193172,1025514
mira,mira-fs1,HACC-IO,GLEAN,read,132.398948,18809.488047,2611327991808,1487193179,1487193313,1025514
mira,mira-fs1,IOR,MPIIO,write,73.361794,14293.216385,1099511627776,1487281875,1487281983,1026386
mira,mira-fs1,IOR,POSIX,write,71.392844,14687.410494,1099511627776,1487281989,1487282063,1026386
mira,mira-fs1,HACC-IO,GLEAN,write,166.959379,14915.942132,2611327991808,1487282070,1487282238,1026386
mira,mira-fs1,IOR,MPIIO,read,81.403438,12881.224915,1099511627776,1487282306,1487282418,1026386
mira,mira-fs1,IOR,POSIX,read,52.271622,20060.138846,1099511627776,1487282424,1487282492,1026386
mira,mira-fs1,HACC-IO,GLEAN,read,129.133094,19285.191418,2611327991808,1487282499,1487282629,1026386
mira,mira-fs1,IOR,MPIIO,write,67.870198,15449.726608,1099511627776,1487370688,1487370783,1027273
mira,mira-fs1,IOR,POSIX,write,73.327834,14299.835928,1099511627776,1487370790,1487370866,1027273
mira,mira-fs1,IOR,MPIIO,write,71.769138,14610.402641,1099511627776,1487450557,1487450658,1027936
mira,mira-fs1,IOR,POSIX,write,71.865819,14590.747297,1099511627776,1487450665,1487450739,1027936
mira,mira-fs1,HACC-IO,GLEAN,write,92.380251,17025.979446,1649267703808,1487450746,1487450839,1027936
mira,mira-fs1,IOR,MPIIO,read,77.004719,13617.035522,1099511627776,1487450939,1487451051,1027936
mira,mira-fs1,IOR,POSIX,read,52.987409,19789.154200,1099511627776,1487451057,1487451130,1027936
mira,mira-fs1,HACC-IO,GLEAN,read,486.533503,3232.797414,1649267703808,1487451137,1487451625,1027936
mira,mira-fs1,IOR,MPIIO,write,71.878433,14588.186637,1099511627776,1487540891,1487540995,1028851
mira,mira-fs1,IOR,POSIX,write,71.076178,14752.847270,1099511627776,1487541002,1487541075,1028851
mira,mira-fs1,IOR,MPIIO,write,73.382643,14289.155490,1099511627776,1487702841,1487702945,1029755
mira,mira-fs1,IOR,POSIX,write,68.510701,15305.287844,1099511627776,1487702952,1487703023,1029755
mira,mira-fs1,HACC-IO,GLEAN,write,546.745018,2876.778384,1649267703808,1487703030,1487703578,1029755
mira,mira-fs1,IOR,MPIIO,read,88.854493,11801.046393,1099511627776,1487703683,1487703802,1029755
mira,mira-fs1,IOR,POSIX,read,54.07216,19392.160250,1099511627776,1487703809,1487703868,1029755
mira,mira-fs1,HACC-IO,GLEAN,read,90.373025,17404.134080,1649267703808,1487703876,1487703967,1029755
mira,mira-fs1,IOR,MPIIO,write,81.649673,12842.378388,1099511627776,1487713757,1487713866,1030450
mira,mira-fs1,IOR,POSIX,write,75.729111,13846.405728,1099511627776,1487713872,1487713950,1030450
mira,mira-fs1,HACC-IO,GLEAN,write,1876.655475,838.120939,1649267703808,1487713957,1487715836,1030450
mira,mira-fs1,IOR,MPIIO,read,97.055392,10803.892306,1099511627776,1487715957,1487716069,1030450
mira,mira-fs1,IOR,POSIX,read,52.525377,19963.226542,1099511627776,1487716076,1487716141,1030450
mira,mira-fs1,HACC-IO,GLEAN,read,86.889879,18101.811878,1649267703808,1487716148,1487716236,1030450
mira,mira-fs1,IOR,MPIIO,write,74.705256,14036.174358,1099511627776,1487857643,1487857748,1031208
mira,mira-fs1,IOR,POSIX,write,72.582816,14446.615096,1099511627776,1487857754,1487857830,1031208
mira,mira-fs1,HACC-IO,GLEAN,write,936.121697,1680.192067,1649267703808,1487857837,1487858775,1031208
mira,mira-fs1,IOR,MPIIO,read,84.350417,12431.189293,1099511627776,1487858811,1487858924,1031208
mira,mira-fs1,IOR,POSIX,read,55.599751,18859.365091,1099511627776,1487858930,1487858992,1031208
mira,mira-fs1,HACC-IO,GLEAN,read,85.137468,18474.407132,1649267703808,1487858999,1487859086,1031208
mira,mira-fs1,IOR,MPIIO,write,76.600524,13688.888004,1099511627776,1487881228,1487881339,1032037
mira,mira-fs1,IOR,POSIX,write,71.755763,14613.125937,1099511627776,1487881345,1487881419,1032037
mira,mira-fs1,HACC-IO,GLEAN,write,92.664181,16973.810594,1649267703808,1487881426,1487881521,1032037
mira,mira-fs1,IOR,MPIIO,read,89.344684,11736.299780,1099511627776,1487881568,1487881681,1032037
mira,mira-fs1,IOR,POSIX,read,52.996573,19785.732222,1099511627776,1487881688,1487881756,1032037
mira,mira-fs1,HACC-IO,GLEAN,read,84.775892,18553.201993,1649267703808,1487881763,1487881849,1032037
mira,mira-fs1,IOR,MPIIO,write,76.15677,13768.651149,1099511627776,1487996261,1487996373,1032945
mira,mira-fs1,IOR,POSIX,write,94.955053,11042.866815,1099511627776,1487996379,1487996476,1032945
mira,mira-fs1,HACC-IO,GLEAN,write,97.271743,16169.796119,1649267703808,1487996494,1487996592,1032945
mira,mira-fs1,IOR,MPIIO,read,134.328639,7806.049436,1099511627776,1487996673,1487996974,1032945
mira,mira-fs1,IOR,POSIX,read,64.341811,16296.961351,1099511627776,1487996980,1487997051,1032945
mira,mira-fs1,HACC-IO,GLEAN,read,120.67367,13034.030111,1649267703808,1487997058,1487997180,1032945
mira,mira-fs1,IOR,MPIIO,write,75.530148,13882.880301,1099511627776,1488103466,1488103579,1033320
mira,mira-fs1,IOR,POSIX,write,75.830827,13827.832849,1099511627776,1488103585,1488103664,1033320
mira,mira-fs1,HACC-IO,GLEAN,write,95.630948,16447.230528,1649267703808,1488103671,1488103768,1033320
mira,mira-fs1,IOR,MPIIO,read,86.020463,12189.843747,1099511627776,1488103807,1488103926,1033320
mira,mira-fs1,IOR,POSIX,read,54.041716,19403.084972,1099511627776,1488103933,1488103992,1033320
mira,mira-fs1,HACC-IO,GLEAN,read,86.139364,18259.529329,1649267703808,1488103999,1488104086,1033320
mira,mira-fs1,IOR,MPIIO,write,71.207715,14725.595432,1099511627776,1488148285,1488148385,1033686
mira,mira-fs1,IOR,POSIX,write,72.047029,14554.049160,1099511627776,1488148391,1488148466,1033686
mira,mira-fs1,HACC-IO,GLEAN,write,335.670521,4685.738393,1649267703808,1488148473,1488148810,1033686
mira,mira-fs1,IOR,MPIIO,read,83.321534,12584.693835,1099511627776,1488148849,1488148963,1033686
mira,mira-fs1,IOR,POSIX,read,53.137269,19733.343829,1099511627776,1488148969,1488149030,1033686
mira,mira-fs1,HACC-IO,GLEAN,read,87.143077,18049.216249,1649267703808,1488149037,1488149125,1033686
mira,mira-fs1,IOR,MPIIO,write,78.04008,13436.377866,1099511627776,1488231367,1488231484,1034384
mira,mira-fs1,IOR,POSIX,write,71.840139,14595.962862,1099511627776,1488231490,1488231565,1034384
mira,mira-fs1,HACC-IO,GLEAN,write,93.829501,16763.003544,1649267703808,1488231572,1488231667,1034384
mira,mira-fs1,VPIC-IO,H5Part,write,59.912088,17501.910467,1099511632192,1488231674,1488231764,1034384
mira,mira-fs1,IOR,MPIIO,read,81.282706,12900.357955,1099511627776,1488231771,1488231887,1034384
mira,mira-fs1,IOR,POSIX,read,52.725975,19887.275632,1099511627776,1488231923,1488231982,1034384
mira,mira-fs1,HACC-IO,GLEAN,read,88.887011,17695.096633,1649267703808,1488231988,1488232078,1034384
mira,mira-fs1,BD-CATS-IO,H5Part,read,72.447807,10857.640528,824822726656,1488232086,1488232179,1034384
mira,mira-fs1,IOR,MPIIO,write,68.086177,15400.717928,1099511627776,1488348038,1488348129,1035041
mira,mira-fs1,IOR,POSIX,write,75.807737,13832.044544,1099511627776,1488348136,1488348215,1035041
mira,mira-fs1,HACC-IO,GLEAN,write,95.636734,16446.235545,1649267703808,1488348223,1488348320,1035041
mira,mira-fs1,VPIC-IO,H5Part,write,59.962008,17487.339750,1099511632192,1488348327,1488348418,1035041
mira,mira-fs1,IOR,MPIIO,read,70.121524,14953.696579,1099511627776,1488348425,1488348526,1035041
mira,mira-fs1,IOR,POSIX,read,52.491442,19976.132477,1099511627776,1488348533,1488348590,1035041
mira,mira-fs1,HACC-IO,GLEAN,read,101.312342,15524.902701,1649267703808,1488348598,1488348700,1035041
mira,mira-fs1,BD-CATS-IO,H5Part,read,69.491025,11319.623588,824822726656,1488348707,1488348798,1035041
mira,mira-fs1,IOR,MPIIO,write,72.405294,14482.035053,1099511627776,1488426126,1488426226,1035678
mira,mira-fs1,IOR,POSIX,write,72.194242,14524.371699,1099511627776,1488426233,1488426307,1035678
mira,mira-fs1,HACC-IO,GLEAN,write,93.384476,16842.887759,1649267703808,1488426314,1488426409,1035678
mira,mira-fs1,VPIC-IO,H5Part,write,59.830564,17525.758333,1099511632192,1488426416,1488426504,1035678
mira,mira-fs1,IOR,MPIIO,read,76.810095,13651.538978,1099511627776,1488426510,1488426627,1035678
mira,mira-fs1,IOR,POSIX,read,52.329361,20038.005167,1099511627776,1488426634,1488426693,1035678
mira,mira-fs1,HACC-IO,GLEAN,read,91.753805,17142.223704,1649267703808,1488426700,1488426793,1035678
mira,mira-fs1,BD-CATS-IO,H5Part,read,57.173769,13758.271722,824822726656,1488426800,1488426886,1035678
mira,mira-fs1,IOR,MPIIO,write,72.763822,14410.677880,1099511627776,1488485936,1488486040,1036485
mira,mira-fs1,IOR,POSIX,write,72.26278,14510.595818,1099511627776,1488486047,1488486121,1036485
mira,mira-fs1,HACC-IO,GLEAN,write,93.729297,16780.924496,1649267703808,1488486128,1488486223,1036485
mira,mira-fs1,VPIC-IO,H5Part,write,59.781629,17540.104180,1099511632192,1488486231,1488486322,1036485
mira,mira-fs1,IOR,MPIIO,read,73.350506,14295.416103,1099511627776,1488486328,1488486438,1036485
mira,mira-fs1,IOR,POSIX,read,52.66921,19908.709649,1099511627776,1488486444,1488486515,1036485
mira,mira-fs1,HACC-IO,GLEAN,read,85.558454,18383.504766,1649267703808,1488486522,1488486609,1036485
mira,mira-fs1,BD-CATS-IO,H5Part,read,58.564917,13431.458353,824822726656,1488486616,1488486701,1036485
mira,mira-fs1,IOR,MPIIO,write,74.156776,14139.989095,1099511627776,1488579920,1488580020,1037227
mira,mira-fs1,IOR,POSIX,write,71.823962,14599.250340,1099511627776,1488580027,1488580102,1037227
mira,mira-fs1,HACC-IO,GLEAN,write,94.342874,16671.786518,1649267703808,1488580109,1488580205,1037227
mira,mira-fs1,VPIC-IO,H5Part,write,64.036008,16374.787144,1099511632192,1488580212,1488580299,1037227
mira,mira-fs1,IOR,MPIIO,read,78.32499,13387.502585,1099511627776,1488580306,1488580416,1037227
mira,mira-fs1,IOR,POSIX,read,54.07225,19392.128213,1099511627776,1488580422,1488580482,1037227
mira,mira-fs1,HACC-IO,GLEAN,read,85.868179,18317.195801,1649267703808,1488580489,1488580576,1037227
mira,mira-fs1,BD-CATS-IO,H5Part,read,59.968045,13117.190143,824822726656,1488580583,1488580668,1037227
mira,mira-fs1,IOR,MPIIO,write,70.586726,14855.144313,1099511627776,1488658667,1488658767,1037989
mira,mira-fs1,IOR,POSIX,write,71.247411,14717.391019,1099511627776,1488658773,1488658847,1037989
mira,mira-fs1,HACC-IO,GLEAN,write,93.102544,16893.891281,1649267703808,1488658854,1488658948,1037989
mira,mira-fs1,VPIC-IO,H5Part,write,57.016047,18390.892840,1099511632192,1488658955,1488659040,1037989
mira,mira-fs1,IOR,MPIIO,read,75.284481,13928.182631,1099511627776,1488659046,1488659149,1037989
mira,mira-fs1,IOR,POSIX,read,52.657067,19913.300541,1099511627776,1488659155,1488659215,1037989
mira,mira-fs1,HACC-IO,GLEAN,read,86.586655,18165.203892,1649267703808,1488659222,1488659309,1037989
mira,mira-fs1,BD-CATS-IO,H5Part,read,73.992163,10631.021163,824822726656,1488659317,1488659426,1037989
mira,mira-fs1,IOR,MPIIO,write,71.494576,14666.511176,1099511627776,1488745800,1488745898,1038334
mira,mira-fs1,IOR,POSIX,write,70.939276,14781.318035,1099511627776,1488745905,1488745979,1038334
mira,mira-fs1,HACC-IO,GLEAN,write,93.411174,16838.073950,1649267703808,1488745986,1488746081,1038334
mira,mira-fs1,VPIC-IO,H5Part,write,56.817229,18455.247193,1099511632192,1488746088,1488746170,1038334
mira,mira-fs1,IOR,MPIIO,read,78.047866,13435.037454,1099511627776,1488746177,1488746284,1038334
mira,mira-fs1,IOR,POSIX,read,52.345706,20031.748045,1099511627776,1488746291,1488746354,1038334
mira,mira-fs1,HACC-IO,GLEAN,read,85.741631,18344.230516,1649267703808,1488746361,1488746448,1038334
mira,mira-fs1,BD-CATS-IO,H5Part,read,60.638434,12972.172930,824822726656,1488746455,1488746538,1038334
mira,mira-fs1,IOR,MPIIO,write,76.869995,13640.901195,1099511627776,1488917876,1488917978,1039807
mira,mira-fs1,IOR,POSIX,write,71.185019,14730.290433,1099511627776,1488917984,1488918058,1039807
mira,mira-fs1,HACC-IO,GLEAN,write,92.124538,17073.238887,1649267703808,1488918065,1488918158,1039807
mira,mira-fs1,VPIC-IO,H5Part,write,57.607968,18201.926571,1099511632192,1488918165,1488918248,1039807
mira,mira-fs1,IOR,MPIIO,read,75.020025,13977.281377,1099511627776,1488918254,1488918366,1039807
mira,mira-fs1,IOR,POSIX,read,51.555688,20338.706451,1099511627776,1488918373,1488918434,1039807
mira,mira-fs1,HACC-IO,GLEAN,read,85.178476,18465.512876,1649267703808,1488918442,1488918528,1039807
mira,mira-fs1,BD-CATS-IO,H5Part,read,68.575012,11470.829245,824822726656,1488918535,1488918625,1039807
mira,mira-fs1,IOR,MPIIO,write,115.08962,9110.951941,1099511627776,1489004303,1489004545,1041056
mira,mira-fs1,IOR,POSIX,write,78.988177,13275.100573,1099511627776,1489004552,1489004635,1041056
mira,mira-fs1,HACC-IO,GLEAN,write,94.110149,16713.014065,1649267703808,1489004642,1489004738,1041056
mira,mira-fs1,VPIC-IO,H5Part,write,59.403709,17651.692555,1099511632192,1489004745,1489004833,1041056
mira,mira-fs1,IOR,MPIIO,read,153.65093,6824.403851,1099511627776,1489004840,1489005069,1041056
mira,mira-fs1,IOR,POSIX,read,54.643936,19189.247210,1099511627776,1489005075,1489005143,1041056
mira,mira-fs1,HACC-IO,GLEAN,read,89.408614,17591.864844,1649267703808,1489005150,1489005240,1041056
mira,mira-fs1,BD-CATS-IO,H5Part,read,72.141715,10903.708713,824822726656,1489005247,1489005360,1041056
